LOCATION,PRICE,FACING,FLOOR,BEDROOM,BATHROOM,LAND AREA (sqft),ROAD ACCESS (ft),PROPERTY AGE,HAS_PARKING,HAS_BALCONY,HAS_GARDEN,HAS_MODULAR_KITCHEN,LOCATION_ENCODED
"Imadol, Lalitpur",28000000.0,north,2.5,5.0,4.0,1026.75,13.0,13.0,1,1,0,0,29527777.777777776
"Ochu Height, Lalitpur",27500000.0,north,3.0,6.0,5.0,1060.9750000000001,13.0,4.0,1,1,0,0,27000000.0
"Gwarko, Lalitpur",29500000.0,south,2.5,5.0,4.0,1095.2,13.0,9.0,1,1,0,0,26142857.14285714
"Lubhu, Lalitpur",19500000.0,west,3.0,5.0,6.0,787.175,23.0,6.0,1,1,0,0,22600000.0
"Lalitpur, Lalitpur",27000000.0,south,2.5,5.0,4.0,1095.2,13.0,21.0,1,1,0,0,27000000.0
"Imadol, Lalitpur",28000000.0,east,2.5,6.0,4.0,1369.0,16.0,13.0,1,1,0,0,29527777.777777776
"Imadol, Lalitpur",29000000.0,east,2.5,3.0,3.0,1026.75,14.0,11.0,1,1,0,0,29527777.777777776
"Imadol, Lalitpur",29000000.0,east,3.0,5.0,5.0,1095.2,13.0,3.0,1,1,0,0,29527777.777777776
"Imadol, Lalitpur",29000000.0,east,2.5,4.0,4.0,1095.2,13.0,6.0,0,1,0,0,29527777.777777776
"Bhaisepati, Lalitpur",45000000.0,east,3.0,4.0,4.0,1711.25,13.0,6.0,1,1,0,0,47632203.38983051
"Dhapasi, Kathmandu",22500000.0,north-west,2.5,4.0,2.0,787.175,13.0,13.0,1,1,0,0,38452173.91304348
"Golfutar, Kathmandu",26000000.0,east,2.0,5.0,5.0,1026.75,14.0,12.0,1,0,1,1,37055555.55555555
"Dadhikot, Bhaktapur",33000000.0,south-west,3.5,8.0,5.0,1471.675,13.0,3.0,1,1,1,0,29333333.333333332
